,id,product_quality,staff_service,queues_checkout,assortment_availability,store_cleanliness,other_problem,label_status,label_error
0,127402,False,True,False,False,False,False,True,
1,127435,False,True,False,False,False,True,True,
2,127811,False,True,False,False,False,False,True,
3,127888,False,True,True,False,False,False,True,
4,128070,False,True,False,False,False,False,True,
5,128184,False,True,True,False,False,False,True,
6,128341,False,False,True,True,False,False,True,
7,128343,False,True,False,False,False,False,True,
8,128352,False,False,False,True,False,True,True,
9,128811,True,False,False,False,False,False,True,
10,128959,False,False,False,False,False,False,True,
11,129066,False,True,False,False,False,False,True,
12,129455,False,False,False,True,False,False,True,
13,130530,False,True,False,False,False,False,True,
14,130695,False,True,False,False,False,True,True,
15,131057,False,True,False,False,False,True,True,
16,131280,True,True,False,False,False,False,True,
17,131610,False,True,True,True,False,True,True,
18,131718,True,True,False,False,False,False,True,
19,131911,False,False,False,False,False,True,True,
20,133056,False,True,False,False,False,True,True,
21,133201,False,True,False,True,False,False,True,
22,133400,False,True,False,False,False,False,True,
23,133722,True,True,False,False,False,False,True,
24,134206,True,True,False,False,False,False,True,
25,134879,True,True,False,True,False,False,True,
26,134947,False,True,False,False,False,True,True,
27,135029,False,True,True,False,False,True,True,
28,135153,False,True,False,False,False,False,True,
29,135154,False,True,False,False,False,False,True,
30,135703,False,True,False,False,False,False,True,
31,136057,False,False,False,False,False,False,True,
32,136132,True,True,False,False,False,False,True,
33,136396,False,True,False,False,True,True,True,
34,136445,False,False,False,True,False,True,True,
35,136512,True,True,False,False,False,False,True,
36,136698,False,False,True,False,False,False,True,
37,136701,False,False,False,True,False,False,True,
38,137046,False,False,False,False,False,True,True,
39,137065,True,True,True,False,False,False,True,
40,137430,True,True,False,False,False,False,True,
41,137546,True,False,False,True,False,True,True,
42,137558,False,True,False,True,False,False,True,
43,138195,False,True,False,False,False,False,True,
44,138410,False,False,False,False,True,False,True,
45,138451,False,True,False,False,True,True,True,
46,138561,False,False,False,True,False,False,True,
47,138661,False,False,False,False,False,True,True,
48,138805,False,True,False,False,False,False,True,
49,138809,True,False,False,False,False,False,True,
50,138811,True,False,True,False,False,False,True,
51,138813,True,False,False,False,False,False,True,
52,139084,False,True,False,False,False,False,True,
53,139262,False,True,False,False,False,False,True,
54,139692,False,True,False,False,False,True,True,
55,140028,False,False,False,False,True,False,True,
56,140162,True,False,False,False,False,False,True,
57,140249,False,True,False,False,False,False,True,
58,140380,False,True,True,True,False,False,True,
59,140382,False,True,False,False,False,False,True,
